weekstart,n_comments
2021-08-09,1444
2021-08-16,539
2021-08-30,289
2021-09-13,928
2021-09-20,2972
2021-09-27,10613
2021-10-04,26478
2021-10-11,79625
2021-10-18,158573
2021-10-25,83300
2021-11-01,63050
2021-11-08,37660
2021-11-15,19952
2021-11-22,16194
2021-11-29,14520
2021-12-06,18641
2021-12-13,14131
2021-12-20,6008
