user_name,video_id,video_desc,video_time,video_duration,n_shares,n_likes,n_comments,n_plays,video_link
jongraz,7050491114775842095,we must HEED THE BONES!! 🔮🦴🔮,1641570386,45,4284,101400,1700,546900,https://www.tiktok.com/@jongraz/video/7050491114775842095?lang=en
jongraz,7049430483209391366,let’s help some SWEET BABIES* *animals!! #animalrescue #rescuedog #nonprofit,1641323438,57,663,78500,9955,477800,https://www.tiktok.com/@jongraz/video/7049430483209391366?lang=en
jongraz,7048998918729764102,noodle is…is he all of us today? I think he may be #noodletok #mondaymotivation,1641222956,46,5620,147600,1916,770300,https://www.tiktok.com/@jongraz/video/7048998918729764102?lang=en
jongraz,7048271702387739910,🚨🚨🚨 we needed THIS!! 🔮🦴🎉 #noodletok #newyearsamepug #happynewyear,1641053638,55,11700,224500,2541,943000,https://www.tiktok.com/@jongraz/video/7048271702387739910?lang=en
jongraz,7047890544210496773,your ✨FINAL READING✨ of 2021 🔮🦴🔮,1640964892,59,7166,140700,2537,621400,https://www.tiktok.com/@jongraz/video/7047890544210496773?lang=en
jongraz,7047174062619020549,the pug maintenance continues! #pugmaintenance #noodletok #bathtime,1640798074,0,923,92300,804,589200,https://www.tiktok.com/@jongraz/video/7047174062619020549?lang=en
jongraz,7047154942162914565,he has been…CLEANSED #pug #bathtime #sweetestprincethereseverbeen,1640793622,55,5289,315300,1803,1700000,https://www.tiktok.com/@jongraz/video/7047154942162914565?lang=en
jongraz,7046779675493895430,plan or adjust your day accordingly 🔮🦴🔮 #noodletok #bonesday #nobones #magicmeatball,1640706249,55,3761,110400,1287,611400,https://www.tiktok.com/@jongraz/video/7046779675493895430?lang=en
jongraz,7045829553830333702,#greenscreen noodle truly is the gift that keeps on giving 🎁🎄 #pug #christmas #toastyundercarriage,1640485032,177,1896,114400,1362,695700,https://www.tiktok.com/@jongraz/video/7045829553830333702?lang=en
jongraz,7045657418432285957,have an amazing day everyone and merry christmas to all who celebrate! 🔮🦴🎄 #noodletok #christmasbones #pug,1640444953,59,14300,273900,3094,1100000,https://www.tiktok.com/@jongraz/video/7045657418432285957?lang=en
jongraz,7044925508760407302,it’s a…snow bones day 😉😉😉😉 #noodletok #iceking #kingofwinter,1640274542,0,8657,203800,2164,914500,https://www.tiktok.com/@jongraz/video/7044925508760407302?lang=en
jongraz,7044174342799789318,the Oracle Speaks and we must Listen!! 🔮🦴🔮 #noodletok #pug #rescue,1640099647,44,4141,111400,1700,569100,https://www.tiktok.com/@jongraz/video/7044174342799789318?lang=en
jongraz,7043809322018557189,your Monday reading 🔮🦴🔮 #noodletok #nobones,1640014659,13,7635,262700,2706,1400000,https://www.tiktok.com/@jongraz/video/7043809322018557189?lang=en
jongraz,7043061913114119429,may this set the tone for your weekend 🔮🦴🔮 also the auto captions on this one SLAYED me 😂 #bonesday #nobones #noodletok,1639840639,49,5779,142700,2448,683800,https://www.tiktok.com/@jongraz/video/7043061913114119429?lang=en
jongraz,7042308571643514118,we are…all shocked!!! 🔮🦴🔮 #noodletok,1639665239,56,19900,314000,6932,1300000,https://www.tiktok.com/@jongraz/video/7042308571643514118?lang=en
jongraz,7041944285268184325,"once again, the Bones tell us what to do 🔮🦴🔮 #bonesday #nobones #noodletok #pug",1639580422,43,3645,66800,1788,411600,https://www.tiktok.com/@jongraz/video/7041944285268184325?lang=en
jongraz,7041221365935934725,the Bones have spoken and to the Bones we listen 🔮🦴🔮 #bonesday #nobones #noodletok,1639412104,45,6159,134900,2889,786300,https://www.tiktok.com/@jongraz/video/7041221365935934725?lang=en
jongraz,7040833887395712261,your Sunday reading 🔮🦴🔮,1639321887,43,6384,144100,2451,683100,https://www.tiktok.com/@jongraz/video/7040833887395712261?lang=en
jongraz,7040108971608329478,#ad EMBRACE THOSE FRIDAY BONES! Today only use code NOODLE for $5 off your @Grubhub order of $15+! #GrubhubPartner HOPE YOU TREAT YOURSELF TODAY!,1639153104,28,896,51500,478,504400,https://www.tiktok.com/@jongraz/video/7040108971608329478?lang=en
jongraz,7040088885635894533,plan your Friday accordingly 🔮🦴🔮,1639148428,46,5364,108400,2167,622800,https://www.tiktok.com/@jongraz/video/7040088885635894533?lang=en
jongraz,7039854816281070853,"Answer @TikTok noodle vids will ALWAYS reign supreme, but I posted this in April and the response to it inspired me to keep creating and here we are!",1639093930,58,558,52100,574,455100,https://www.tiktok.com/@jongraz/video/7039854816281070853?lang=en
jongraz,7039717595007683845,!!!!!!!!!!!! 🚨🔮🦴🔮🚨 #noodletok #bonesday #nobones,1639061980,43,7994,155500,3158,737600,https://www.tiktok.com/@jongraz/video/7039717595007683845?lang=en
jongraz,7039331413455490350,you know what to do 🔮🦴🔮,1638972068,15,7489,198100,2293,1100000,https://www.tiktok.com/@jongraz/video/7039331413455490350?lang=en
jongraz,7038735781690641669,#greenscreen we are so grateful!! thank you everyone and @TikTok for turning my year around. how did this happen #yearontiktok,1638833384,48,114,32600,669,331200,https://www.tiktok.com/@jongraz/video/7038735781690641669?lang=en
jongraz,7038604400016837893,there is no room for doubt in today’s reading 🔮🦴🔮 #noodletok #bonesday #nobones,1638802794,51,30000,400500,8372,2200000,https://www.tiktok.com/@jongraz/video/7038604400016837893?lang=en
jongraz,7037869076139543813,plan your day accordingly!! 🔮🦴🔮,1638631588,0,7218,202500,3071,1200000,https://www.tiktok.com/@jongraz/video/7037869076139543813?lang=en
jongraz,7037619234444152069,#ad thanks again for helping to make these playlists SO good! now plz indulge me: what is your top song of 2021? #SpotifyPartner #SpotifyWrapped,1638573417,0,117,26100,152,305800,https://www.tiktok.com/@jongraz/video/7037619234444152069?lang=en
jongraz,7037487216548924678,carpe diem my sweet beans! 🔮🦴🔮 #noodletok #bonesday #nobones #friday #weekendvibes,1638542680,15,12500,355300,3503,1600000,https://www.tiktok.com/@jongraz/video/7037487216548924678?lang=en
jongraz,7037281583786740997,#greenscreen there’s a lot going on sort of all over this video but plz take a moment to bask in his glory #noodletok #pics,1638494802,180,3250,194700,1943,1500000,https://www.tiktok.com/@jongraz/video/7037281583786740997?lang=en
jongraz,7037119231531470086,we needed this…arguably now more than ever before 🔮🦴🔮 #bonesday #nobones #noodletok,1638457001,0,9030,225200,2895,1500000,https://www.tiktok.com/@jongraz/video/7037119231531470086?lang=en
jongraz,7036442227425561862,take a drink every time I say “it’s giving Tuesday” and “uh” #animalshelter #animalrescue #nonprofit thanks in advance for your ✨submissions!!✨,1638299374,45,90,20500,1809,325100,https://www.tiktok.com/@jongraz/video/7036442227425561862?lang=en
