weekstart,n_likes
2021-08-09,436100
2021-08-16,171500
2021-08-30,78400
2021-09-13,171300
2021-09-20,698200
2021-09-27,817600
2021-10-04,5911700
2021-10-11,6350200
2021-10-18,11567400
2021-10-25,5000000
2021-11-01,3726600
2021-11-08,1937200
2021-11-15,1492700
2021-11-22,1702500
2021-11-29,1089500
2021-12-06,1005000
2021-12-13,655800
2021-12-20,846700
2021-12-27,473000
2022-01-03,244000
2022-01-10,152300
